"review_id","business_id","user_id","review_stars","satisfied","review_date","review_length","useful","funny","cool","business_name","city","state","latitude","longitude","business_review_count","is_open","categories","business_price","has_parking","takes_reservations","outdoor_seating","has_tv","user_review_count","user_average_stars","user_fans","user_is_elite","review_day_of_week","weekend"
"0Yki9k58vG7cRP_tBMUTlQ","D5V0Fawd6ODVgqCY8xngsw","IbkNGnWIxEtazLN8kL1k0w","5.0",1,"2018-02-11 14:44:29",480,0,0,0,"Loews Philadelphia Hotel","Philadelphia","PA","39.9517461","-75.1602286",505,True,"Event Planning & Services, Hotels & Travel, Restaurants, Hotels, Seafood",3,1,1,0,1,11,"4.36",0,0,"0",1
"FhO2wTkUSNu6N9qW6tozog","sTuDLAMOxhhWQAsKsbGioQ","NCcbAu7z_LXbS_wIG4Yz4A","4.0",1,"2015-01-03 22:27:41",259,0,0,0,"Beach Hut Deli","Reno","NV","39.54","-119.863207",164,True,"Sandwiches, Restaurants",2,1,0,1,1,10,"4.4",0,0,"6",1
"xgPXyopMWnVcTMtfn_QIfA","sdWuLh-auc0nC2Jy6_26AQ","vJWI69EFIq_kWdW7JdlkqA","4.0",1,"2017-02-19 18:30:42",111,1,0,1,"The Black Sheep Pub & Restaurant","Philadelphia","PA","39.9484223","-75.1692901",339,True,"Bars, Pubs, Irish Pub, Nightlife, Sports Bars, Restaurants, American (New)",2,1,0,0,1,19,"3.74",0,0,"0",1
"piWbQJH285GpuTL5h40aZw","CPFKi2lZJazP6IdtCdDDyg","xMurqi2aHbAfNjuKRO2YAQ","4.0",1,"2014-02-05 20:08:32",880,2,0,0,"Coffeebar","Reno","NV","39.5090563","-119.8149981",676,True,"Bars, Coffee & Tea, Restaurants, Cafes, Food, Nightlife, Breakfast & Brunch, Wine Bars, Sandwiches",1,1,0,1,1,54,"3.74",4,1,"3",0
"PXHNKUDzIQO_0kjuCvx3Lw","NesMl0Tiq1FsPoX2LzHkNg","riQp8NRNrsw5XJw72N6JGw","5.0",1,"2017-03-03 18:40:49",264,0,0,0,"PJ Subs","Tucson","AZ","32.2275777","-110.9351327",100,True,"Cheesesteaks, Chicken Wings, Food, Beer, Wine & Spirits, Restaurants, Sandwiches",1,1,1,1,1,39,"4.19",1,0,"5",0
"BjC4UWpRluMSWlTXMcu5UA","o6jfwLREaGy1mwAEybjOkg","lHL82mc_ZEVXfrXpowyT_g","5.0",1,"2017-08-28 22:07:06",119,0,0,0,"Stefano Greek Italian Restaurant","Tampa","FL","28.0280199569","-82.393829897",106,True,"Food, Desserts, Breakfast & Brunch, Restaurants, American (Traditional), Greek, Italian",2,1,1,0,1,3,"5.0",0,0,"1",0
"d7GKoPATLeFAyyjPyHJRpg","W0vdz23JQtVQX5vJkiCj3g","MbdJ_gl7sAQcdvBkCVs8ZQ","4.0",1,"2014-05-07 21:31:29",193,1,0,1,"Cask And Ale","Saint Petersburg","FL","27.7714260256","-82.6368627591",118,False,"Bars, Restaurants, Tapas/Small Plates, Nightlife, Lounges",2,1,0,1,1,57,"4.41",15,0,"3",0
"7j43zIvEvHQ9lQV2t7ZEUg","g04aAvgol7IW8buqSbT4xA","dZT9bq8wCxaMdc71mBExXw","1.0",0,"2018-04-15 15:18:26",423,1,0,0,"Cafe Fleur De Lis","New Orleans","LA","29.9544944572","-90.0665915385",1865,True,"Breakfast & Brunch, Coffee & Tea, Food, Restaurants",2,1,0,0,1,40,"2.72",0,0,"0",1
"1mGNOGtwVSj_FtGOd5Zu0A","0ndzIekJs0PRPA5Aoz9sow","OaW5UIO5302v-JhAhOdvqA","5.0",1,"2012-10-08 20:44:49",680,0,0,0,"Morning Call Coffee Stand","Metairie","LA","30.0094943911","-90.1582181454",180,False,"Coffee & Tea, Restaurants, Food",1,1,0,0,0,15,"4.2",0,0,"1",0
"SJtnKsncepG_PG9eZKa4Pw","BrYoQyygyIb-FsVJ0AMpLg","EeurbQP2qgXPCuEnJiNdQA","5.0",1,"2014-07-13 17:29:21",344,0,0,0,"A Matter of Taste","Nashville","TN","36.1266822","-86.7775881",29,False,"Local Flavor, Food, Caterers, Restaurants, Event Planning & Services, Gluten-Free, Bakeries",2,1,0,0,0,2,"3.0",0,0,"0",1
"0pye6ykoqVMVqrrSCim1IQ","-OIUunijjcq_ZzyyQhPPFQ","CjWNXIzcMXGnuiiT7DBubQ","5.0",1,"2016-03-07 04:21:54",447,0,0,0,"Zorba's Taverna","Philadelphia","PA","39.9671642","-75.1748969",510,True,"Restaurants, Greek, Mediterranean",2,1,1,0,0,6,"4.17",0,0,"1",0
"6cwo1m_Ily_sThJemSFPkg","EtKSTHV5Qx_Q7Aur9o4kQQ","PGkMTm3hiermfR6TE498bw","5.0",1,"2012-05-29 05:18:18",332,0,0,0,"Village Whiskey","Philadelphia","PA","39.9514165949","-75.1737677917",1553,True,"Bars, Nightlife, Whiskey Bars, Burgers, Restaurants, American (New)",2,1,0,1,0,435,"3.81",20,1,"2",0
"1G4pyOfVOzXNNpxHwCVNyA","buJQ6k-bLrycLwbB5Xp5YQ","1HM81n6n4iPIFU5d2Lokhw","3.0",0,"2016-03-07 15:30:12",519,5,1,2,"JH Cafe","Metairie","LA","30.0021853","-90.1726033",58,False,"Restaurants, Chinese",1,1,0,0,1,2317,"3.13",149,1,"1",0
"2hMu2jq92yaDraCA33PNkw","uIZwBkvWicqyWraXvYOipw","FCHAnCxUlIuyiok0BThGSA","3.0",0,"2014-09-10 00:53:10",1140,0,0,0,"Sbraga","Philadelphia","PA","39.9455017733","-75.1653677598",375,False,"Restaurants, American (New)",3,1,1,0,0,1,"3.0",0,0,"3",0
"2Fov2QTxMuZ6BmLdodjVCw","A21srfWbl97OWsCn2lK-0Q","nXlQgnoJCplQF_m-FyA7RA","5.0",1,"2016-07-03 23:53:39",108,0,0,0,"El Gallo Grande","St. Petersburg","FL","27.7543071294","-82.6386860758",157,False,"Beer, Wine & Spirits, Mexican, Bars, Food, Sports Bars, Restaurants, Nightlife, Specialty Food, Ethnic Food",2,1,1,0,1,7,"4.64",1,0,"0",1
"3fQvd681CCcGxpqPbx1E-A","zIUUlBoQOQqQLoi2ElcWAg","QzgrFNIUKQG_q3urPmNsTw","5.0",1,"2017-06-28 16:47:24",761,0,0,0,"Suegra Tequila Cantina","Oldsmar","FL","28.0352664484","-82.6549851894",132,False,"Restaurants, Mexican, New Mexican Cuisine",2,0,1,1,1,7,"4.29",0,0,"3",0
"oJuj9mHkIio5E4irxcIhUw","QdQpt47Xg6GXZfJm-Kaebw","diF3X75OTCLijpdhrWMCmw","4.0",1,"2018-02-24 14:37:51",126,0,0,0,"Hungry Howie's Pizza","Tucson","AZ","32.223015","-110.822914",47,True,"Restaurants, Food Delivery Services, Food, Pizza",1,1,0,0,1,37,"4.21",0,0,"6",1
"SGauve0ehcYpNohtVi2UtA","0qu0fNTOsSmuREYVIMPuIQ","XZLw2jk-E5285PEjz383BA","4.0",1,"2009-05-23 01:17:34",730,1,1,1,"Cold Spring Tavern","Santa Barbara","CA","34.5216257926","-119.8405629067",1018,True,"American (Traditional), Restaurants, Bars, Nightlife",2,1,1,1,0,59,"4.0",4,0,"6",1
"k9JDHf-v7G46ps0PEVlw8g","D2kZP7jvrWTuRzcPY6NbqA","jDLeW4d-8WqMkikCTHFJ5g","5.0",1,"2016-04-23 18:03:15",188,0,0,0,"Skyway Cafe","St. Petersburg","FL","27.8737011","-82.6403046",276,True,"Restaurants, Breakfast & Brunch",1,1,0,1,1,8,"4.44",0,0,"6",1
"cNLXTd8-oiapVsvl_SPUfg","L3V21nAe-CicW2bvtNWa0g","fR5x6zfrcWuOV74fx5oIMA","3.0",0,"2010-03-13 18:06:27",589,0,0,0,"Mixx Japanese Cuisine and Noodle Bar","Philadelphia","PA","39.953333","-75.156571",118,False,"Sushi Bars, Restaurants, Japanese, Asian Fusion",2,0,0,0,1,97,"3.65",1,0,"6",1
"d_elld2A5VhnE0vrcXJFmg","rkem6aEo3vAG2VufybdwuA","bfpdkDQfWjWoJRAsbtfATQ","3.0",0,"2013-10-15 18:09:36",494,0,0,0,"Outback Steakhouse","Tampa","FL","27.9393094494","-82.5004009918",159,True,"Steakhouses, Restaurants",2,1,1,0,1,566,"4.05",101,1,"2",0
"hfBxst0hK8aeGI3d41N9Gg","aq26RY75PlTNsviW6wUC9A","-gjIjEvEA2rlypikYsEA5A","5.0",1,"2017-04-08 01:43:14",111,0,0,0,"Hooters","Tucson","AZ","32.2205997635","-110.8379714749",109,True,"Sports Bars, Food, American (Traditional), Nightlife, Bars, Beer, Wine & Spirits, Chicken Wings, Restaurants",2,1,0,1,1,18,"4.05",0,0,"6",1
"JI_KlJSNwrsXgNL-t38nWQ","gfPDLZimZu1NtBIDbeXetg","DItVe4K10DX7VZ2JRFa-zQ","5.0",1,"2016-03-08 01:46:46",303,1,0,0,"Nirvana Indian Bistro","Lafayette Hill","PA","40.0921817","-75.2602162",188,True,"Restaurants, Indian",2,1,1,1,0,6,"4.67",1,0,"2",0
"m1bo1fpPpxZq1YYimAp85w","SKgD0jRWVKk3NqOtSs3VFA","A66EvH_nWJJb7d-F9FlJUw","5.0",1,"2013-10-03 22:48:08",1412,3,3,1,"Jerry Bob's On Broadway","Tucson","AZ","32.2212055","-110.8852364",55,False,"Restaurants, Breakfast & Brunch, American (Traditional), Diners, Salad",1,1,0,0,0,160,"3.45",12,0,"4",0
"ttZxPWstaWHBOC7Gyzh2Sw","I0I2mkCOPTYVSLpc8A8VVw","b5980GgfwQyeuUKskxzpaQ","5.0",1,"2017-07-29 04:47:39",260,0,0,0,"Compère Lapin","New Orleans","LA","29.9479047","-90.067498",804,True,"Personal Chefs, Event Planning & Services, Restaurants, Caribbean, American (New), American (Traditional), French",3,1,1,0,1,73,"4.16",4,1,"6",1
"qIsN_jnwlmivKJczfjyUmw","mUIBtlWNPD7sz3rGGWQ1RA","V7JZ5xGj7uZT5XFbjYLXfw","4.0",1,"2013-07-14 21:30:31",233,0,0,0,"Kanella","Philadelphia","PA","39.9463322","-75.1579478",579,False,"Mediterranean, Food, Greek, Restaurants, Breakfast & Brunch",2,1,1,1,0,17,"2.94",0,0,"0",1
"ypa11MTvPpTx7NbaF9lOXw","X_E7U2lVNEwbH_gpOBmAHQ","skkRFACf2JDD-rfC3kGDUw","5.0",1,"2017-05-27 03:13:33",421,0,0,0,"Cerveza Jack's","Nashville","TN","36.162799","-86.776016",182,True,"Nightlife, Restaurants, Bars, Mexican",2,1,0,0,1,4,"5.0",0,0,"6",1
"NyA5da5gU5HdYHHoL98j7A","GBTPC53ZrG1ZBY3DT8Mbcw","TbU5NW-Kp7XVIe3aNNxbXQ","3.0",0,"2014-04-01 15:42:28",503,0,0,0,"Luke","New Orleans","LA","29.9507416316","-90.0704155423",4554,True,"German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch",2,1,1,0,1,25,"3.8",2,0,"2",0
"VEBXqpv7oyraXCUrDPxFJA","EtKSTHV5Qx_Q7Aur9o4kQQ","6woTWCjHDMEjQclniEei-A","2.0",0,"2011-05-29 10:20:51",1232,0,0,0,"Village Whiskey","Philadelphia","PA","39.9514165949","-75.1737677917",1553,True,"Bars, Nightlife, Whiskey Bars, Burgers, Restaurants, American (New)",2,1,0,1,0,271,"3.56",28,1,"0",1
"qhKEha1-6Szdx9Yvx-IENQ","Cj4SH7N9HKtPhG_wp9ZiOA","INTsFSiO9hWkq13MmJpyiQ","4.0",1,"2017-12-03 16:34:43",1261,0,0,0,"TJ Smith's","Warrington","PA","40.2638126","-75.1305032",155,True,"Bars, Nightlife, Restaurants, American (New)",2,1,0,1,1,21,"4.29",0,0,"0",1
"L7x9inCsdtAUc-r1nPE8XQ","f82dhKNiUXsDVPMLqKYiIQ","SMohRQsvOmUfKaHoaYe6Bg","5.0",1,"2014-04-21 00:14:30",189,1,0,0,"Sher-e-Punjab","Tucson","AZ","32.2509598946","-110.9591583204",446,True,"Restaurants, Salad, Pakistani, Indian, Cocktail Bars, Food, Food Delivery Services, Soup, Halal, Bars, Nightlife",2,1,1,0,0,20,"3.82",0,0,"1",0
"4Zn_MUzvQCW62FSvy3Kqew","vD2jzpPv4iyOLKzITscGvA","etRQ9mkqcHD09s5Y97qaDA","5.0",1,"2013-02-23 22:33:11",1232,0,0,0,"Farmhaus Restaurant","Saint Louis","MO","38.604131","-90.3041457",324,True,"Wine Bars, American (New), Cocktail Bars, Restaurants, American (Traditional), Nightlife, Bars",3,1,1,1,0,47,"3.34",0,0,"6",1
"cbBlP-QIUy5KdXHgnFlxpg","GBTPC53ZrG1ZBY3DT8Mbcw","0Kbv8t9druV66MHOZCIWgA","5.0",1,"2015-01-19 21:22:15",1265,0,0,0,"Luke","New Orleans","LA","29.9507416316","-90.0704155423",4554,True,"German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch",2,1,1,0,1,271,"3.21",41,1,"1",0
"6Lrly5J83Ijy6HEy8A7gyw","UNRqCfwvvcU7jdbvExbhDg","tD4RxRcRUIk3v_vGJ77SCw","2.0",0,"2014-01-18 12:53:39",721,2,1,0,"The Grog Grill","Bryn Mawr","PA","40.0226217","-75.3202699",125,True,"Irish Pub, Restaurants, Sports Bars, American (Traditional), Pubs, Bars, Nightlife",2,1,1,0,1,9,"3.1",0,0,"6",1
"H2I-3p0D1_vJbPkcRYMELg","vgZwA2X7X5oGcui9BDBgbw","MaLDSv8D4_ScDyxeh7GzUg","5.0",1,"2014-04-01 23:17:58",374,1,0,0,"Amish Country Market At The Feed Mill","Nolensville","TN","35.9539551","-86.6700407",69,True,"Bakeries, Farmers Market, Restaurants, Breakfast & Brunch, Specialty Food, Cheese Shops, Food",1,1,0,1,1,34,"4.32",0,0,"2",0
"i3W09Y3Fjial4AAoMVI-jg","MMRRS6YhVRx_iN5-JhMRYg","YAdPcHXMnrBVDHw_ub08Cg","5.0",1,"2014-08-25 03:22:24",364,0,0,0,"Han Dynasty","Philadelphia","PA","39.9567105161","-75.1971027811",783,True,"Restaurants, Chinese, Szechuan",2,1,1,0,1,20,"3.85",0,0,"1",0
"4J4d_Vr9_eBS4vOST5zBhQ","cXSyVvOr9YRN9diDkaWs0Q","IdYplEo8X0JKo_-QHgrcuA","5.0",1,"2018-05-09 19:09:08",623,0,0,0,"Honey's Sit-N-Eat","Philadelphia","PA","39.96399","-75.1444822",1396,True,"Southern, Restaurants, American (Traditional)",2,1,0,1,1,34,"4.0",1,0,"3",0
"4vaHZLYNCchoKPvXeLim5w","UyD7FJamt_pw1V4d00lwjA","m2659DYVbxLRxbqe4MKNZg","2.0",0,"2017-01-15 19:27:24",179,0,1,0,"Naf Naf Grill","King of Prussia","PA","40.0836905029","-75.4040421546",197,False,"Middle Eastern, Caterers, Salad, Restaurants, Falafel, Event Planning & Services, Mediterranean, Fast Food",1,1,0,0,1,93,"3.43",2,0,"0",1
"eTAK7JUhLG105DWMW4qeYw","3c9TiufCFT2yXXj3R08Vwg","ombtcsMFmfIjzQFGB96VIw","4.0",1,"2010-07-09 02:58:18",354,1,1,0,"Snellgroves Restaurant","Plant City","FL","28.0148425","-82.1231756",64,True,"Southern, American (New), Breakfast & Brunch, Restaurants",1,1,0,0,1,173,"4.06",1,0,"5",0
