"review_month","review_id","business_id","user_id","review_stars","satisfied","review_date","review_length","useful","funny","cool","business_name","city","state","latitude","longitude","business_review_count","is_open","categories","business_price","has_parking","takes_reservations","outdoor_seating","has_tv","user_review_count","user_average_stars","user_fans","user_is_elite","review_day_of_week","weekend","is_holiday","consumer_sentiment"
"2005-08","ncdDy6-A7Mxsq0Fdpz3ubQ","n_fUROdhfmLwd_mpBi55ew","_BHTC7nyCBoZcfiiD5cOXg",5,1,2005-08-19,675,4,0,5,"Central Grocery & Deli","New Orleans","LA",29.9588312294,-90.0610717688,1781,"False","Delis, Sandwiches, Restaurants, Grocery, Food","2",1,0,0,1,2098,3.96,241,0,5,0,0,89.1
"2006-07","gnrkfnX0qj7Y9Ppngcc2IA","TaWCKl6hVCwm2ksdRBIJSQ","nnImk681KaRqUVHlSfZjGQ",2,0,2006-07-19,240,1,0,0,"Cicis","Brandon","FL",27.9215043209,-82.3164796829,28,"True","Restaurants, Pizza, American (Traditional)","1",0,0,0,1,1107,3.96,259,1,3,0,0,84.7
"2006-08","UIAtm5dcZi4wrNoAJ4zMTQ","i9E45E2RGZo-2XY66pDPeQ","16bmaGpCAqZB0PzjLTADWA",4,1,2006-08-04,157,1,0,0,"Jake's Steak","Saint Louis","MO",38.6303714,-90.1844936,44,"False","Nightlife, Restaurants, Barbeque, Steakhouses, Bars, Burgers","2",1,1,1,1,160,3.99,8,0,5,0,0,82
"2006-09","-4Cka1cdm1cmjhey4gatng","eAo14BpElFloDZfZhUlNTg","2OLohmwFrl8ru4w1mUXtyw",4,1,2006-09-07,181,0,0,0,"Sukhothai Restaurant","Tampa","FL",28.0231326,-82.5042586,43,"False","Restaurants, Thai","2",1,1,0,0,371,3.85,36,1,4,0,0,85.4
"2006-11","6mNHCdhJhXBxS-w81-4ddw","n3xTK_jqAwZB-C3sUDXEvA","5hZ3j9HWf5cGFvzW2RnxUw",3,0,2006-11-28,308,0,0,0,"Jack Daniel's","Nashville","TN",36.2114175644,-86.6943114521,267,"True","Restaurants, Nightlife, Bars, Southern, American (Traditional)","2",0,1,0,1,367,3.53,17,1,2,0,0,92.1
"2006-12","MyIYbN68SFHXNS13r_e8ig","c_cfKwpJz5GuPaNgBbFaIA","3xX-Et9I4Bi4wdRPWJkAFg",4,1,2006-12-27,374,0,0,0,"Fuddruckers","Saint Louis","MO",38.554664,-90.408007,90,"True","Restaurants, American (Traditional), Burgers","2",1,0,0,1,373,3.97,12,1,3,0,0,91.7
"2007-01","nZ5480c9eLg3cUmFhd5m_A","wKOD2ZWMpiJcdSswRXVuRA","9W8FYppiyFQEI2DO4weXBg",2,0,2007-01-14,1136,1,1,0,"L&L Hawaiian Barbeque","Goleta","CA",34.4284060432,-119.876541,144,"True","Restaurants, Barbeque, Hawaiian","2",1,0,1,1,133,3.46,21,1,0,1,0,96.9
"2007-01","c4av5k10lNAGWJUq_5HDYg","1EUPMgHLZ-79_e9lOhhsOw","2TpM_4GcdbCY4TC4iaiK4g",5,1,2007-01-30,670,3,0,2,"Genuardi's Family Markets","King of Prussia","PA",40.0915486,-75.3577139,5,"False","Florists, Pizza, Shopping, Flowers & Gifts, Food, Bakeries, Grocery, Restaurants","2",1,0,0,0,157,4.05,6,1,2,0,0,96.9
"2007-02","0ZL7QC_iQSMb1ODtlAykGQ","oCoiJ-GBriiupCgpgWfVhQ","TLcUXi2bn6v4hdB8X-M73w",4,1,2007-02-27,484,1,0,0,"Paddy's Old City Pub","Philadelphia","PA",39.9537271,-75.1439691,117,"True","Restaurants, American (Traditional), Nightlife, Bars, Pubs","1",1,0,1,1,274,3.44,12,1,2,0,0,91.3
"2007-04","vJxxtjanTw6gtT-3OTLK-w","3lBooCffgkW7tVSG5kILBA","4U4vN1wDwgaSUBmV7dTzqw",5,1,2007-04-24,810,6,0,3,"Porcini","Philadelphia","PA",39.951348,-75.1751139,317,"True","Restaurants, Italian","2",1,1,0,0,414,3.89,21,1,2,0,0,87.1
"2007-04","Ibufr_Q7Sg9CvBgWTpKQrQ","wJiaLWAxfqDeFsmE2cI8tg","ac54t2LhJmFcIR94kTWMnw",5,1,2007-04-06,255,3,0,3,"Lazy Acres Market - Santa Barbara","Santa Barbara","CA",34.400241,-119.7216702,244,"True","Health Markets, Food, Juice Bars & Smoothies, Specialty Food, Grocery, Restaurants, Delis, Meat Shops","3",1,0,1,0,149,3.65,22,1,5,0,1,87.1
"2007-04","LkUnX6LsyKHVDl-mTAVM_w","qb28j-FNX1_6xm7u372TZA","Eywzux1sdWdoPXNKin1WNg",1,0,2007-04-29,652,0,0,0,"Gumbo Shop","New Orleans","LA",29.9577089,-90.064537,3902,"True","Cajun/Creole, Seafood, Restaurants","2",1,0,0,0,77,3.38,6,0,0,1,0,87.1
"2007-05","y77IA27xKduvubAfy6EgNw","04UD14gamNjLY0IDYVhHJg","OavGX8dN5NiCRPyrqiUiQA",4,1,2007-05-01,345,0,0,0,"Dmitri's","Philadelphia","PA",39.9380132,-75.1481307,273,"False","Mediterranean, Restaurants, Seafood, Greek","2",1,0,0,0,174,3.43,8,0,2,0,0,88.3
"2007-05","gBb53F-tnrLKfA5OTIUm9w","Y5S_AUSW8EjswVf9JAi-0w","aRacTc0DUiqI8VhlZTIgug",5,1,2007-05-04,938,3,1,1,"Horizons","Philadelphia","PA",39.9418368,-75.1538396,179,"False","Vegetarian, Restaurants, Vegan","3",1,1,1,0,27,4.29,1,0,5,0,0,88.3
"2007-05","dbppb2CK9hIIzhFO5KPRVw","jDO4n9lAZNlQTcTFEObfyg","YpWtVONcQsB9a3rdctcJag",4,1,2007-05-28,140,0,0,0,"Hartford Coffee Co","Saint Louis","MO",38.6025778,-90.2524147,218,"True","Food, Vegetarian, Sandwiches, Coffee & Tea, Restaurants","1",1,0,1,0,26,4,1,0,1,0,1,88.3
"2007-06","sIVS3nBli3iOweJ_UyC1eg","7glaDklehs5KxuoCmR9V1Q","uI7N_6vWSs7TFxVKy0Eibg",3,0,2007-06-25,429,2,0,1,"Plaza Garibaldi","Philadelphia","PA",39.9368243,-75.1593731,78,"True","Restaurants, Mexican","2",1,1,0,1,16,4,6,0,1,0,0,85.3
"2007-06","qT2mDRPyIFIP7sSjaeOIIA","arjkq9xxhTjwmncEsXNRmQ","B3C4XKhh0LB2tOwWIs_UUg",4,1,2007-06-12,1374,1,0,0,"Harrah's Reno","Reno","NV",39.5276141,-119.8124754,870,"False","Arts & Entertainment, Event Planning & Services, Restaurants, Hotels, Casinos, Hotels & Travel","2",1,1,0,1,207,3.44,9,1,2,0,0,85.3
"2007-07","WXYnrdIcSyB2Mrri0ObT7Q","uvtfWHc5tPuyE_78trC_6w","6s-g2vFu12OemhiK3FJuOQ",3,0,2007-07-21,717,2,2,1,"Franzone's Pizzeria & Restaurant","Bridgeport","PA",40.1048804,-75.3470935,184,"True","Italian, Restaurants, Pizza","1",1,0,0,1,2388,3.8,1139,1,6,1,0,90.4
"2007-07","UPKjHAdPhKrewses5zCobw","N_z-LD9oPoAXVeX3imHDWg","PaSeYftKxpE0Dih-XkZUzA",5,1,2007-07-06,210,1,0,0,"The Dubliner Irish Pub","Tampa","FL",27.9412694,-82.4834397,94,"True","Pubs, Restaurants, Beer, Wine & Spirits, Nightlife, Bars, Food, Irish","1",1,0,1,1,40,3.95,1,0,5,0,0,90.4
"2007-08","iqgnuWGyqY5W8uFU6hhgAA","TYrHzlIDoH2vLqLkP6hOxQ","kS1MQHYwIfD0462PE61IBw",4,1,2007-08-29,123,0,0,0,"Cafe Balaban","Saint Louis","MO",38.6487853,-90.2611275,5,"False","Restaurants, Nightlife","2",0,0,0,0,5511,3.84,445,1,3,0,0,83.4
"2007-08","_pyEzgAtUSsogY8aqsZG4Q","6F-6mFFNw2YXN7lD_Gukcg","v1CUO20KQdNNTXQz5L0P9g",4,1,2007-08-13,509,4,0,3,"Lolita","Philadelphia","PA",39.950081,-75.162148,423,"False","Restaurants, Mexican","3",1,1,1,0,97,3.82,13,1,1,0,0,83.4
"2007-08","j39BF4i3mVpSbcKcLek-Aw","mAqgsZBTN-wsShMpkz2o9g","wVxKjF72yPsyO7qQi0BNYQ",5,1,2007-08-29,524,0,0,0,"Cantwell's Market & Deli","Santa Barbara","CA",34.4267539,-119.7095028,142,"True","Food, Breakfast & Brunch, Grocery, Sandwiches, Beer, Wine & Spirits, Meat Shops, Delis, Specialty Food, Restaurants, Health Markets","2",1,0,1,1,56,4.05,4,0,3,0,0,83.4
"2007-09","zpwrGiYeXLsM7YJeloJZoA","sL6fC0P4C-gyL4E5gacUeQ","v_riC5aPW8i5teI_-VN8lA",5,1,2007-09-26,386,2,0,3,"Lazaro's Pizzeria & Grill","Philadelphia","PA",39.944571,-75.171679,368,"True","Sandwiches, Restaurants, Pizza, Italian, Salad","1",1,0,0,1,54,3.93,4,1,3,0,0,83.4
"2007-10","iUGv2OX8v8JOFzBaneNxxw","RNgb844JJbo6vO1iUod8vA","h-NFrVwhhCvxdle_3pBwiQ",5,1,2007-10-04,827,2,0,2,"LongHorn Steakhouse","Philadelphia","PA",39.9194120965,-75.1411938987,155,"True","Restaurants, Steakhouses, American (Traditional), Barbeque","2",1,0,0,1,67,3.8,4,0,4,0,0,80.9
"2007-10","q6d5vNzRQ0XUbUEmK9aGoQ","3YqUe2FTCQr0pPVK8oCv6Q","235W87YggWprtBY9jKXQTg",2,0,2007-10-07,452,1,0,0,"Columbia Restaurant","Tampa","FL",27.9600061,-82.4349038,2860,"True","Latin American, Restaurants, Spanish, American (Traditional), Cuban","2",1,1,1,0,325,3.26,11,1,0,1,0,80.9
"2007-10","sRUboVxU0ljaccbxbTe2ag","UV0vf6VGzuNsrUJdZVc1nw","NprmOLKPEzkpNXHLNMcDQA",3,0,2007-10-04,778,0,0,0,"Plump's Last Shot","Indianapolis","IN",39.8731391,-86.1426812,106,"True","Sports Bars, Bars, American (New), Restaurants, Nightlife, Sandwiches, American (Traditional)","2",1,1,1,1,210,3.39,14,1,4,0,0,80.9
"2007-10","LigKhWdeB2PdF3fzJ0zCYQ","OYHmydypUC3wwUouJ2NhZg","tCa5trOwhCXzfxXg2bnZdg",5,1,2007-10-04,1118,2,0,1,"Claddagh Irish Pub","Indianapolis","IN",39.7633,-86.158569,214,"False","Irish, Nightlife, Bars, Pubs, Restaurants","2",1,1,1,1,44,3.95,5,1,4,0,0,80.9
"2007-11","IGoKEuMg_DVC3rk-Blo-8Q","a3fmt5WkWb9NIIZ924G8Tg","55vt2DCD6Btq4wRbjMk41g",2,0,2007-11-19,462,0,0,1,"eegee's","Tucson","AZ",32.23691458,-110.872538,52,"True","Restaurants, Fast Food, Juice Bars & Smoothies, Sandwiches, Desserts, Food","1",1,0,0,1,98,4.19,13,1,1,0,0,76.1
"2007-11","bBtzoip9e7aMoNOw-sqvGg","WxB8498ejPtHE7wFa89_fA","IS6-mfjkhu8XxaVEUkBWgA",3,0,2007-11-12,816,2,0,2,"The Continental Mid-town","Philadelphia","PA",39.9519308,-75.1704529,1682,"True","Breakfast & Brunch, Lounges, Bars, Cocktail Bars, Nightlife, American (Traditional), American (New), Restaurants","2",1,1,1,0,225,3.13,14,0,1,0,1,76.1
"2007-12","4YzoxU-D-69DlBmx3BbC6Q","nmkch1Q89DdFRXF1a-OgIg","Vdy219QdKTKmzTSy12FVnw",4,1,2007-12-18,1643,7,0,3,"Casa Vicente","Tucson","AZ",32.2167247,-110.9698969,178,"False","Basque, Tapas Bars, Restaurants, Spanish, Latin American","2",1,1,1,0,71,3.69,29,1,2,0,0,75.5
"2007-12","80zaMXUmwRBz8p2THOYvXQ","CVnp_PA5sRm_hFcmwmUNAQ","5mFtCLdzwGCnalxod1Ox9g",5,1,2007-12-13,403,0,0,0,"Cafe Patachou","Indianapolis","IN",39.8428868089,-86.1542540158,455,"True","Coffee & Tea, Cafes, Food, Sandwiches, Restaurants, Breakfast & Brunch","2",1,0,1,0,364,3.92,30,1,4,0,0,75.5
"2008-01","2Q-Rs98xGmMrSJeN1X4RkQ","SdU54YlTaCCFvtcfouoBpQ","l475DoDeCJ5zk2taKWwD8Q",5,1,2008-01-04,617,0,1,0,"Guy's Po Boys","New Orleans","LA",29.9204354503,-90.1127644893,337,"True","Specialty Food, Cajun/Creole, Local Flavor, Sandwiches, Food, Restaurants","2",1,0,1,1,156,3.35,7,1,5,0,0,78.4
"2008-01","A4zylVfwLEc4Dp7xizusWg","ez1xAIwSguvgj3F8B7uJsA","62zgueoJm3JARclC7zHGAg",4,1,2008-01-14,3128,7,0,3,"Pepperoncini Restaurant & Bar","Conshohocken","PA",40.0724915206,-75.302182764,244,"True","Caterers, Restaurants, Event Planning & Services, Italian","2",1,1,0,1,27,3.9,2,0,1,0,0,78.4
"2008-01","MM9NKVqfBv_wigXZfLUhRQ","sTPueJEwcRDj7ZJmG7okYA","e14spB9FbiEwxfucFMv0MA",1,0,2008-01-29,267,3,1,0,"Jim's South St","Philadelphia","PA",39.941498,-75.149272,2736,"True","Bars, Restaurants, Pizza, Cheesesteaks, Italian, Beer Bar, American (Traditional), Local Flavor, Nightlife, Sandwiches","2",1,0,0,0,42,3.91,1,0,2,0,0,78.4
"2008-01","qEbHxc0JWjX4tNRSwkgb7A","7kLE0V9Pid6dx1vD4-jQfQ","XRv5SpJPULVxWtOBEFe1-A",3,0,2008-01-30,1798,4,2,4,"Maoz Vegetarian","Philadelphia","PA",39.9412785,-75.1473324,159,"False","Sandwiches, Middle Eastern, Vegetarian, Restaurants","1",1,0,0,0,26,4.21,2,0,3,0,0,78.4
"2008-02","JJjrwB0Pp8XuYeUHbNSKBA","muCelHtTlX5PrJd8JKkf_w","3ZN5h8HazD1ry-arbpAJHA",3,0,2008-02-14,416,2,0,0,"New Harmony Vegetarian Restaurant","Philadelphia","PA",39.95445,-75.1543215,327,"False","Food, Health Markets, Restaurants, Specialty Food, Vegetarian, Kosher, Chinese, Ukrainian, Vegan","2",1,1,0,1,8,4,0,0,4,0,0,70.8
